benchmark, value, count
baseline, 61824.0, 3
baseline, 61888.0, 26
baseline, 61952.0, 21
baseline, 62016.0, 2
baseline, 62144.0, 1
baseline, 62400.0, 1
baseline, 62528.0, 1
baseline, 62656.0, 1
baseline, 62720.0, 1
baseline, 62784.0, 1
baseline, 63040.0, 28
baseline, 63104.0, 56896
baseline, 63168.0, 138536
baseline, 63232.0, 20243
baseline, 63296.0, 4945
baseline, 63360.0, 4420
baseline, 63424.0, 4494
baseline, 63488.0, 20290
baseline, 63552.0, 1154714
baseline, 63616.0, 1458553
baseline, 63680.0, 155032
baseline, 63744.0, 4742
baseline, 63808.0, 224
baseline, 63872.0, 104
baseline, 63936.0, 77
baseline, 64000.0, 78
baseline, 64064.0, 85
baseline, 64128.0, 74
baseline, 64192.0, 78
baseline, 64256.0, 82
baseline, 64320.0, 87
baseline, 64384.0, 101
baseline, 64448.0, 75
baseline, 64512.0, 58
baseline, 64576.0, 48
baseline, 64640.0, 36
baseline, 64704.0, 24
baseline, 64768.0, 59
baseline, 64832.0, 50
baseline, 64896.0, 48
baseline, 64960.0, 60
baseline, 65024.0, 74
baseline, 65088.0, 82
baseline, 65152.0, 102
baseline, 65216.0, 99
baseline, 65280.0, 96
baseline, 65344.0, 89
baseline, 65408.0, 78
baseline, 65472.0, 82
baseline, 65536.0, 190
baseline, 65664.0, 160
baseline, 65792.0, 180
baseline, 65920.0, 144
baseline, 66048.0, 149
baseline, 66176.0, 115
baseline, 66304.0, 156
baseline, 66432.0, 166
baseline, 66560.0, 158
baseline, 66688.0, 138
baseline, 66816.0, 177
baseline, 66944.0, 155
baseline, 67072.0, 130
baseline, 67200.0, 160
baseline, 67328.0, 180
baseline, 67456.0, 142
baseline, 67584.0, 142
baseline, 67712.0, 174
baseline, 67840.0, 283
baseline, 67968.0, 701
baseline, 68096.0, 1494
baseline, 68224.0, 2996
baseline, 68352.0, 9318
baseline, 68480.0, 17658
baseline, 68608.0, 13944
baseline, 68736.0, 3324
baseline, 68864.0, 1190
baseline, 68992.0, 1217
baseline, 69120.0, 1226
baseline, 69248.0, 1418
baseline, 69376.0, 1784
baseline, 69504.0, 1981
baseline, 69632.0, 2273
baseline, 69760.0, 2268
baseline, 69888.0, 1873
baseline, 70016.0, 1364
baseline, 70144.0, 1123
baseline, 70272.0, 1125
baseline, 70400.0, 1123
baseline, 70528.0, 1206
baseline, 70656.0, 2476
noBlackhole, 156672.0, 248
noBlackhole, 156928.0, 10603
noBlackhole, 157184.0, 7065
noBlackhole, 157440.0, 41
noBlackhole, 157696.0, 4
noBlackhole, 157952.0, 1
noBlackhole, 158208.0, 1
noBlackhole, 158464.0, 57
noBlackhole, 158720.0, 110907
noBlackhole, 158976.0, 778764
noBlackhole, 159232.0, 241354
noBlackhole, 159488.0, 620
noBlackhole, 159744.0, 139
noBlackhole, 160000.0, 97
noBlackhole, 160256.0, 184
noBlackhole, 160512.0, 272
noBlackhole, 160768.0, 245
noBlackhole, 161024.0, 170
noBlackhole, 161280.0, 145
noBlackhole, 161536.0, 196
noBlackhole, 161792.0, 374
noBlackhole, 162048.0, 531
noBlackhole, 162304.0, 277
noBlackhole, 162560.0, 242
