benchmark, value, count
baseline10, 4640.0, 1
baseline10, 4648.0, 1
baseline10, 4656.0, 9
baseline10, 4664.0, 19
baseline10, 4672.0, 19
baseline10, 4680.0, 24
baseline10, 4688.0, 37
baseline10, 4696.0, 51
baseline10, 4704.0, 75
baseline10, 4712.0, 97
baseline10, 4720.0, 108
baseline10, 4728.0, 123
baseline10, 4736.0, 136
baseline10, 4744.0, 315
baseline10, 4752.0, 2376
baseline10, 4760.0, 11548
baseline10, 4768.0, 45400
baseline10, 4776.0, 109509
baseline10, 4784.0, 212626
baseline10, 4792.0, 331118
baseline10, 4800.0, 450901
baseline10, 4808.0, 540834
baseline10, 4816.0, 577283
baseline10, 4824.0, 576833
baseline10, 4832.0, 524566
baseline10, 4840.0, 457692
baseline10, 4848.0, 371853
baseline10, 4856.0, 285314
baseline10, 4864.0, 211908
baseline10, 4872.0, 149178
baseline10, 4880.0, 103152
baseline10, 4888.0, 67916
baseline10, 4896.0, 42639
baseline10, 4904.0, 27057
baseline10, 4912.0, 16014
baseline12, 18656.0, 1
baseline12, 18688.0, 3
baseline12, 18720.0, 5
baseline12, 18752.0, 18
baseline12, 18784.0, 45
baseline12, 18816.0, 66
baseline12, 18848.0, 120
baseline12, 18880.0, 177
baseline12, 18912.0, 175
baseline12, 18944.0, 174
baseline12, 18976.0, 197
baseline12, 19008.0, 1815
baseline12, 19040.0, 20010
baseline12, 19072.0, 109746
baseline12, 19104.0, 350008
baseline12, 19136.0, 708995
baseline12, 19168.0, 1002773
baseline12, 19200.0, 1047553
baseline12, 19232.0, 841590
baseline12, 19264.0, 541469
baseline12, 19296.0, 287829
baseline12, 19328.0, 129747
baseline12, 19360.0, 51632
baseline12, 19392.0, 17964
baseline12, 19424.0, 5842
baseline12, 19456.0, 1822
baseline12, 19488.0, 540
baseline12, 19520.0, 184
baseline12, 19552.0, 100
baseline12, 19584.0, 78
baseline12, 19616.0, 76
baseline12, 19648.0, 87
baseline12, 19680.0, 79
baseline12, 19712.0, 76
baseline12, 19744.0, 70
baseline12, 19776.0, 70
baseline12, 19808.0, 57
baseline12, 19840.0, 71
baseline12, 19872.0, 61
baseline12, 19904.0, 71
baseline12, 19936.0, 82
baseline12, 19968.0, 79
baseline12, 20000.0, 72
baseline12, 20032.0, 66
baseline12, 20064.0, 56
baseline12, 20096.0, 58
baseline12, 20128.0, 48
baseline12, 20160.0, 30
baseline12, 20192.0, 35
baseline12, 20224.0, 35
baseline12, 20256.0, 35
baseline12, 20288.0, 31
baseline12, 20320.0, 47
baseline12, 20352.0, 46
baseline12, 20384.0, 41
baseline12, 20416.0, 58
baseline12, 20448.0, 43
baseline12, 20480.0, 56
baseline12, 20512.0, 57
baseline12, 20544.0, 50
baseline12, 20576.0, 59
baseline12, 20608.0, 68
baseline12, 20640.0, 58
baseline12, 20672.0, 75
baseline12, 20704.0, 70
baseline12, 20736.0, 83
baseline12, 20768.0, 79
baseline12, 20800.0, 84
baseline12, 20832.0, 73
baseline12, 20864.0, 76
baseline12, 20896.0, 76
baseline12, 20928.0, 70
baseline12, 20960.0, 65
baseline12, 20992.0, 67
baseline12, 21024.0, 67
baseline12, 21056.0, 91
baseline12, 21088.0, 76
baseline12, 21120.0, 80
baseline12, 21152.0, 87
baseline12, 21184.0, 83
baseline12, 21216.0, 100
baseline12, 21248.0, 90
baseline12, 21280.0, 90
baseline12, 21312.0, 94
baseline12, 21344.0, 111
baseline12, 21376.0, 84
baseline12, 21408.0, 62
baseline12, 21440.0, 81
baseline12, 21472.0, 91
baseline12, 21504.0, 80
baseline12, 21536.0, 74
baseline12, 21568.0, 63
baseline12, 21600.0, 71
baseline12, 21632.0, 81
baseline12, 21664.0, 63
baseline12, 21696.0, 63
baseline12, 21728.0, 66
baseline12, 21760.0, 72
baseline12, 21792.0, 91
baseline12, 21824.0, 68
baseline12, 21856.0, 71
baseline12, 21888.0, 74
baseline12, 21920.0, 57
