benchmark, value, count
baselineSequential, 61888.0, 10
baselineSequential, 61952.0, 21
baselineSequential, 62016.0, 11
baselineSequential, 62080.0, 2
baselineSequential, 62144.0, 1
baselineSequential, 62336.0, 2
baselineSequential, 62400.0, 1
baselineSequential, 62464.0, 2
baselineSequential, 62528.0, 2
baselineSequential, 62592.0, 1
baselineSequential, 62656.0, 1
baselineSequential, 62720.0, 1
baselineSequential, 62912.0, 1
baselineSequential, 63040.0, 1
baselineSequential, 63104.0, 1
baselineSequential, 63168.0, 4
baselineSequential, 63232.0, 1544
baselineSequential, 63296.0, 193451
baselineSequential, 63360.0, 90728
baselineSequential, 63424.0, 6328
baselineSequential, 63488.0, 5068
baselineSequential, 63552.0, 4935
baselineSequential, 63616.0, 5115
baselineSequential, 63680.0, 7744
baselineSequential, 63744.0, 428733
baselineSequential, 63808.0, 1831247
baselineSequential, 63872.0, 422417
baselineSequential, 63936.0, 12654
baselineSequential, 64000.0, 583
baselineSequential, 64064.0, 144
baselineSequential, 64128.0, 76
baselineSequential, 64192.0, 82
baselineSequential, 64256.0, 81
baselineSequential, 64320.0, 76
baselineSequential, 64384.0, 61
baselineSequential, 64448.0, 85
baselineSequential, 64512.0, 92
baselineSequential, 64576.0, 108
baselineSequential, 64640.0, 74
baselineSequential, 64704.0, 59
baselineSequential, 64768.0, 47
baselineSequential, 64832.0, 28
baselineSequential, 64896.0, 40
baselineSequential, 64960.0, 43
baselineSequential, 65024.0, 56
baselineSequential, 65088.0, 54
baselineSequential, 65152.0, 52
baselineSequential, 65216.0, 59
baselineSequential, 65280.0, 90
baselineSequential, 65344.0, 92
baselineSequential, 65408.0, 88
baselineSequential, 65472.0, 103
baselineSequential, 65536.0, 155
baselineSequential, 65664.0, 189
baselineSequential, 65792.0, 191
baselineSequential, 65920.0, 176
baselineSequential, 66048.0, 222
baselineSequential, 66176.0, 184
baselineSequential, 66304.0, 144
baselineSequential, 66432.0, 148
baselineSequential, 66560.0, 178
baselineSequential, 66688.0, 145
baselineSequential, 66816.0, 142
baselineSequential, 66944.0, 188
baselineSequential, 67072.0, 172
baselineSequential, 67200.0, 159
baselineSequential, 67328.0, 174
baselineSequential, 67456.0, 199
baselineSequential, 67584.0, 188
baselineSequential, 67712.0, 149
baselineSequential, 67840.0, 177
baselineSequential, 67968.0, 209
baselineSequential, 68096.0, 571
baselineSequential, 68224.0, 1156
baselineSequential, 68352.0, 1949
